#TYPE Microsoft.Online.Administration.UserExtended
"Password","ExtensionData","AlternateEmailAddresses","AlternateMobilePhones","AlternativeSecurityIds","BlockCredential","City","CloudExchangeRecipientDisplayType","Country","Department","DirSyncProvisioningErrors","DisplayName","Errors","Fax","FirstName","ImmutableId","IndirectLicenseErrors","IsBlackberryUser","IsLicensed","LastDirSyncTime","LastName","LastPasswordChangeTimestamp","LicenseAssignmentDetails","LicenseReconciliationNeeded","Licenses","LiveId","MSExchRecipientTypeDetails","MSRtcSipDeploymentLocator","MSRtcSipPrimaryUserAddress","MobilePhone","ObjectId","Office","OverallProvisioningStatus","PasswordNeverExpires","PasswordResetNotRequiredDuringActivate","PhoneNumber","PortalSettings","PostalCode","PreferredDataLocation","PreferredLanguage","ProxyAddresses","ReleaseTrack","ServiceInformation","SignInName","SoftDeletionTimestamp","State","StreetAddress","StrongAuthenticationMethods","StrongAuthenticationPhoneAppDetails","StrongAuthenticationProofupTime","StrongAuthenticationRequirements","StrongAuthenticationUserDetails","StrongPasswordRequired","StsRefreshTokensValidFrom","Title","UsageLocation","UserLandingPageIdentifierForO365Shell","UserPrincipalName","UserThemeIdentifierForO365Shell","UserType","ValidationStatus","WhenCreated"
"Wov11600","System.Runtime.Serialization.ExtensionDataObject","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]",,"False",,,,,,"hacker11",,,"hacker11",,,"False","True",,,"5/27/2022 9:57:22 PM","System.Collections.Generic.List`1[Microsoft.Online.Administration.LicenseAssignmentDetail]","False","System.Collections.Generic.List`1[Microsoft.Online.Administration.UserLicense]","10032001FF24BD65",,,,,"8b28af8d-c459-4bd9-aca2-48c8b158c2d8",,"PendingInput","False",,,,,,,,,,"hacker11@M365x25073779.onmicrosoft.com",,,,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationMethod]","System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationPhoneAppDetail]",,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationRequirement]",,"True","5/27/2022 9:57:22 PM",,"US",,"hacker11@M365x25073779.onmicrosoft.com",,"Member","Healthy",
"Jay15936","System.Runtime.Serialization.ExtensionDataObject","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]",,"False",,,,,,"hacker12",,,"hacker12",,,"False","True",,,"5/27/2022 9:57:22 PM","System.Collections.Generic.List`1[Microsoft.Online.Administration.LicenseAssignmentDetail]","False","System.Collections.Generic.List`1[Microsoft.Online.Administration.UserLicense]","10032001FF24BD67",,,,,"15d293b8-2172-491d-af5e-c73273c90da3",,"PendingInput","False",,,,,,,,,,"hacker12@M365x25073779.onmicrosoft.com",,,,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationMethod]","System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationPhoneAppDetail]",,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationRequirement]",,"True","5/27/2022 9:57:22 PM",,"US",,"hacker12@M365x25073779.onmicrosoft.com",,"Member","Healthy",
"Suw49653","System.Runtime.Serialization.ExtensionDataObject","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]",,"False",,,,,,"hacker13",,,"hacker13",,,"False","True",,,"5/27/2022 9:57:23 PM","System.Collections.Generic.List`1[Microsoft.Online.Administration.LicenseAssignmentDetail]","False","System.Collections.Generic.List`1[Microsoft.Online.Administration.UserLicense]","10032001FF2541FA",,,,,"1644ceb1-9e5b-4457-bd73-53a1c0708bfb",,"PendingInput","False",,,,,,,,,,"hacker13@M365x25073779.onmicrosoft.com",,,,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationMethod]","System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationPhoneAppDetail]",,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationRequirement]",,"True","5/27/2022 9:57:23 PM",,"US",,"hacker13@M365x25073779.onmicrosoft.com",,"Member","Healthy",
"Sog70589","System.Runtime.Serialization.ExtensionDataObject","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]",,"False",,,,,,"hacker14",,,"hacker14",,,"False","True",,,"5/27/2022 9:57:23 PM","System.Collections.Generic.List`1[Microsoft.Online.Administration.LicenseAssignmentDetail]","False","System.Collections.Generic.List`1[Microsoft.Online.Administration.UserLicense]","10032001FF2541FF",,,,,"d5f6d385-6914-418a-a060-d99f79b23bf2",,"PendingInput","False",,,,,,,,,,"hacker14@M365x25073779.onmicrosoft.com",,,,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationMethod]","System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationPhoneAppDetail]",,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationRequirement]",,"True","5/27/2022 9:57:23 PM",,"US",,"hacker14@M365x25073779.onmicrosoft.com",,"Member","Healthy",
"Don57900","System.Runtime.Serialization.ExtensionDataObject","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]",,"False",,,,,,"hacker15",,,"hacker15",,,"False","True",,,"5/27/2022 9:57:24 PM","System.Collections.Generic.List`1[Microsoft.Online.Administration.LicenseAssignmentDetail]","False","System.Collections.Generic.List`1[Microsoft.Online.Administration.UserLicense]","10032001FF24BD6E",,,,,"e29a8c21-d953-474f-bf4b-e36d1188d1a9",,"PendingInput","False",,,,,,,,,,"hacker15@M365x25073779.onmicrosoft.com",,,,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationMethod]","System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationPhoneAppDetail]",,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationRequirement]",,"True","5/27/2022 9:57:24 PM",,"US",,"hacker15@M365x25073779.onmicrosoft.com",,"Member","Healthy",
"Sam02660","System.Runtime.Serialization.ExtensionDataObject","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]",,"False",,,,,,"hacker16",,,"hacker16",,,"False","True",,,"5/27/2022 9:57:25 PM","System.Collections.Generic.List`1[Microsoft.Online.Administration.LicenseAssignmentDetail]","False","System.Collections.Generic.List`1[Microsoft.Online.Administration.UserLicense]","10032001FF254208",,,,,"e83ee75f-5a34-46eb-91fa-c4b555f74e54",,"PendingInput","False",,,,,,,,,,"hacker16@M365x25073779.onmicrosoft.com",,,,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationMethod]","System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationPhoneAppDetail]",,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationRequirement]",,"True","5/27/2022 9:57:25 PM",,"US",,"hacker16@M365x25073779.onmicrosoft.com",,"Member","Healthy",
"Gow92331","System.Runtime.Serialization.ExtensionDataObject","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]",,"False",,,,,,"hacker17",,,"hacker17",,,"False","True",,,"5/27/2022 9:57:25 PM","System.Collections.Generic.List`1[Microsoft.Online.Administration.LicenseAssignmentDetail]","False","System.Collections.Generic.List`1[Microsoft.Online.Administration.UserLicense]","10032001FF24BD74",,,,,"b5ad0855-b398-4788-931f-e734d2414112",,"PendingInput","False",,,,,,,,,,"hacker17@M365x25073779.onmicrosoft.com",,,,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationMethod]","System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationPhoneAppDetail]",,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationRequirement]",,"True","5/27/2022 9:57:25 PM",,"US",,"hacker17@M365x25073779.onmicrosoft.com",,"Member","Healthy",
"Zuv61692","System.Runtime.Serialization.ExtensionDataObject","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]",,"False",,,,,,"hacker18",,,"hacker18",,,"False","True",,,"5/27/2022 9:57:26 PM","System.Collections.Generic.List`1[Microsoft.Online.Administration.LicenseAssignmentDetail]","False","System.Collections.Generic.List`1[Microsoft.Online.Administration.UserLicense]","10032001FF25420E",,,,,"e1787f54-7077-43ee-861f-1979ae41e677",,"PendingInput","False",,,,,,,,,,"hacker18@M365x25073779.onmicrosoft.com",,,,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationMethod]","System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationPhoneAppDetail]",,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationRequirement]",,"True","5/27/2022 9:57:26 PM",,"US",,"hacker18@M365x25073779.onmicrosoft.com",,"Member","Healthy",
"Yux48971","System.Runtime.Serialization.ExtensionDataObject","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]",,"False",,,,,,"hacker19",,,"hacker19",,,"False","True",,,"5/27/2022 9:57:27 PM","System.Collections.Generic.List`1[Microsoft.Online.Administration.LicenseAssignmentDetail]","False","System.Collections.Generic.List`1[Microsoft.Online.Administration.UserLicense]","10032001FF254215",,,,,"1be420e5-e216-4f9c-8117-2d5fe82a55a8",,"PendingInput","False",,,,,,,,,,"hacker19@M365x25073779.onmicrosoft.com",,,,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationMethod]","System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationPhoneAppDetail]",,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationRequirement]",,"True","5/27/2022 9:57:27 PM",,"US",,"hacker19@M365x25073779.onmicrosoft.com",,"Member","Healthy",
"Hab75067","System.Runtime.Serialization.ExtensionDataObject","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]",,"False",,,,,,"hacker20",,,"hacker20",,,"False","True",,,"5/27/2022 9:57:28 PM","System.Collections.Generic.List`1[Microsoft.Online.Administration.LicenseAssignmentDetail]","False","System.Collections.Generic.List`1[Microsoft.Online.Administration.UserLicense]","10032001FF254218",,,,,"90180d28-8a25-4bfe-9550-28ddc6aa25a7",,"PendingInput","False",,,,,,,,,,"hacker20@M365x25073779.onmicrosoft.com",,,,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationMethod]","System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationPhoneAppDetail]",,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationRequirement]",,"True","5/27/2022 9:57:28 PM",,"US",,"hacker20@M365x25073779.onmicrosoft.com",,"Member","Healthy",
